감 자 감 자	1234	2010/01/02	2010/01/02	고 구 마	2010/01/02	0	1
감 자 감 자	1234	2010/01/02	2010/01/02	고 구 마	2010/01/02	0	1
감자감자	알바	2012/02/02	2012/02/02	1234	2020/03/31	1	2
ㄹㄹㅇㄹㅇ	ta111	2012/02/02	2012/02/02		2018/03/03	2	3
감자감자	알바	2012/02/29	2012/02/29	1234	2020/03/31	1	2
ㄹㄹㅇㄹㅇ	ta111	2012/02/29	2012/02/29		2018/03/03	2	3
ㄹㄹㅇㄹㅇ	ta111	2012/02/29	2012/02/29		2012/02/29	0	3
ㄹㄹㅇㄹㅇ	ta111	2012/02/29	2012/02/29		2012/02/29	0	3
ㄹㄹㅇㄹㅇ	ta111	2012/03/30	2012/03/30		2018/03/03	2	3
ㄹㄹㅇㄹㅇ	ta111	2012/03/31	2012/03/31		2018/03/03	2	3
감자감자	알바	2012/03/31	2012/03/31	1234	2020/03/31	1	2
